GEO.id,GEO.id2,GEO.display-label,allfamilies total,allfamilies_pctpoverty,allmarried,married_pctpoverty,femalehousehold,femalehousehold_pctpoverty,allfamilies_depchildren,allfamilies_depchildren_pctpoverty
1400000US06001400100,6001400100,"Census Tract 4001, Alameda County, California",828,2.2,758,1.5,49,14.3,203,3.4
1400000US06001400200,6001400200,"Census Tract 4002, Alameda County, California",471,1.3,427,1.4,21,0,162,0
1400000US06001400300,6001400300,"Census Tract 4003, Alameda County, California",1136,1.6,874,0,164,11,457,1.3
1400000US06001400400,6001400400,"Census Tract 4004, Alameda County, California",839,1.2,653,0,96,10.4,366,0
1400000US06001400500,6001400500,"Census Tract 4005, Alameda County, California",592,6.1,405,0,161,22.4,239,0
1400000US06001400600,6001400600,"Census Tract 4006, Alameda County, California",364,3,262,0,93,5.4,137,3.6
1400000US06001400700,6001400700,"Census Tract 4007, Alameda County, California",890,14.5,427,7.5,362,24,439,24.4
1400000US06001400800,6001400800,"Census Tract 4008, Alameda County, California",698,3.3,474,0,122,9.8,249,0
1400000US06001400900,6001400900,"Census Tract 4009, Alameda County, California",440,9.5,272,6.3,126,11.9,222,11.3
1400000US06001401000,6001401000,"Census Tract 4010, Alameda County, California",1127,21.3,568,4.2,463,29.6,518,35.3
1400000US06001401100,6001401100,"Census Tract 4011, Alameda County, California",737,8.3,468,0,148,20.3,232,14.7
1400000US06001401200,6001401200,"Census Tract 4012, Alameda County, California",496,1.4,364,1.1,94,3.2,169,4.1
1400000US06001401300,6001401300,"Census Tract 4013, Alameda County, California",525,15.6,277,2.9,158,40.5,168,19.6
1400000US06001401400,6001401400,"Census Tract 4014, Alameda County, California",740,34.6,360,27.2,273,47.6,412,51.2
1400000US06001401500,6001401500,"Census Tract 4015, Alameda County, California",384,15.9,158,9.5,133,31.6,138,14.5
1400000US06001401600,6001401600,"Census Tract 4016, Alameda County, California",314,25.5,147,13.6,134,44.8,181,44.2
1400000US06001401700,6001401700,"Census Tract 4017, Alameda County, California",480,22.3,258,17.4,141,44,236,33.1
1400000US06001401800,6001401800,"Census Tract 4018, Alameda County, California",374,41.2,90,5.6,206,56.3,287,46.3
1400000US06001402200,6001402200,"Census Tract 4022, Alameda County, California",460,25,195,8.7,233,42.1,231,40.3
1400000US06001402400,6001402400,"Census Tract 4024, Alameda County, California",659,23.4,280,28.2,225,25.8,350,25.7
1400000US06001402500,6001402500,"Census Tract 4025, Alameda County, California",454,51.5,127,24.4,308,59.7,388,56.2
1400000US06001402600,6001402600,"Census Tract 4026, Alameda County, California",267,40.1,234,36.8,33,63.6,58,43.1
1400000US06001402700,6001402700,"Census Tract 4027, Alameda County, California",287,36.6,103,17.5,120,55.8,171,55
1400000US06001402800,6001402800,"Census Tract 4028, Alameda County, California",425,27.1,279,28.7,115,30.4,166,26.5
1400000US06001402900,6001402900,"Census Tract 4029, Alameda County, California",222,22.1,111,14.4,58,34.5,65,30.8
1400000US06001403000,6001403000,"Census Tract 4030, Alameda County, California",665,14.3,517,14.1,119,18.5,155,21.9
1400000US06001403100,6001403100,"Census Tract 4031, Alameda County, California",347,25.4,264,24.6,41,12.2,77,33.8
1400000US06001403300,6001403300,"Census Tract 4033, Alameda County, California",813,19.9,617,16.5,196,30.6,229,42.8
1400000US06001403400,6001403400,"Census Tract 4034, Alameda County, California",729,2.2,506,3.2,44,0,196,8.2
1400000US06001403501,6001403501,"Census Tract 4035.01, Alameda County, California",757,16.1,422,17.8,226,20.8,407,26.3
1400000US06001403502,6001403502,"Census Tract 4035.02, Alameda County, California",409,6.4,311,0,84,31,102,21.6
1400000US06001403600,6001403600,"Census Tract 4036, Alameda County, California",718,14.2,532,12.6,150,23.3,367,23.4
1400000US06001403701,6001403701,"Census Tract 4037.01, Alameda County, California",386,16.3,309,8.7,77,46.8,166,33.7
1400000US06001403702,6001403702,"Census Tract 4037.02, Alameda County, California",364,0,303,0,36,0,116,0
1400000US06001403800,6001403800,"Census Tract 4038, Alameda County, California",635,1.6,533,1.9,94,0,249,0
1400000US06001403900,6001403900,"Census Tract 4039, Alameda County, California",630,4.3,427,0,173,6.4,355,3.1
1400000US06001404000,6001404000,"Census Tract 4040, Alameda County, California",492,1.4,398,0,55,12.7,165,4.2
1400000US06001404101,6001404101,"Census Tract 4041.01, Alameda County, California",591,1.5,521,0,62,14.5,244,0
1400000US06001404102,6001404102,"Census Tract 4041.02, Alameda County, California",443,0,401,0,36,0,117,0
1400000US06001404200,6001404200,"Census Tract 4042, Alameda County, California",973,1.3,829,1.6,108,0,487,2.7
1400000US06001404300,6001404300,"Census Tract 4043, Alameda County, California",909,0,847,0,49,0,433,0
1400000US06001404400,6001404400,"Census Tract 4044, Alameda County, California",1396,2.9,1171,3.4,85,0,649,3.5
1400000US06001404501,6001404501,"Census Tract 4045.01, Alameda County, California",534,1.9,501,0,17,0,225,4.4
1400000US06001404502,6001404502,"Census Tract 4045.02, Alameda County, California",1598,0.8,1340,0,205,5.9,714,1.7
1400000US06001404600,6001404600,"Census Tract 4046, Alameda County, California",1243,0.5,1140,0.5,63,0,375,1.6
1400000US06001404700,6001404700,"Census Tract 4047, Alameda County, California",598,1.7,516,1,67,0,221,2.3
1400000US06001404800,6001404800,"Census Tract 4048, Alameda County, California",727,5.9,470,1.3,145,8.3,386,11.1
1400000US06001404900,6001404900,"Census Tract 4049, Alameda County, California",1002,4.1,792,0,202,20.3,511,8
1400000US06001405000,6001405000,"Census Tract 4050, Alameda County, California",830,1.1,664,0,136,6.6,313,2.9
1400000US06001405100,6001405100,"Census Tract 4051, Alameda County, California",1219,1.2,1096,0,100,15,574,1.2
1400000US06001405200,6001405200,"Census Tract 4052, Alameda County, California",917,6.7,743,8.2,108,0,332,6.6
1400000US06001405301,6001405301,"Census Tract 4053.01, Alameda County, California",633,0,416,0,162,0,237,0
1400000US06001405302,6001405302,"Census Tract 4053.02, Alameda County, California",495,19.6,384,18.2,65,24.6,162,40.7
1400000US06001405401,6001405401,"Census Tract 4054.01, Alameda County, California",799,22.5,478,16.3,231,30.7,404,22.5
1400000US06001405402,6001405402,"Census Tract 4054.02, Alameda County, California",602,22.3,308,26.3,238,22.3,372,29.3
1400000US06001405500,6001405500,"Census Tract 4055, Alameda County, California",915,17.5,534,17.2,211,9.5,464,20.9
1400000US06001405600,6001405600,"Census Tract 4056, Alameda County, California",660,12.9,362,2.8,187,26.7,359,20.1
1400000US06001405700,6001405700,"Census Tract 4057, Alameda County, California",720,16,462,18.8,118,23.7,337,24.3
1400000US06001405800,6001405800,"Census Tract 4058, Alameda County, California",952,31.5,550,24,286,52.8,521,38.8
1400000US06001405901,6001405901,"Census Tract 4059.01, Alameda County, California",820,27.7,492,28.7,200,43,483,38.3
1400000US06001405902,6001405902,"Census Tract 4059.02, Alameda County, California",725,32.3,504,25.2,148,56.1,452,37.8
1400000US06001406000,6001406000,"Census Tract 4060, Alameda County, California",623,33.5,489,25.8,111,74.8,240,50.4
1400000US06001406100,6001406100,"Census Tract 4061, Alameda County, California",834,24,357,26.1,322,25.5,486,26.5
1400000US06001406201,6001406201,"Census Tract 4062.01, Alameda County, California",910,33,432,25.7,346,39.6,618,37.5
1400000US06001406202,6001406202,"Census Tract 4062.02, Alameda County, California",946,32.5,425,14.4,283,71.7,630,38.7
1400000US06001406300,6001406300,"Census Tract 4063, Alameda County, California",904,18.4,458,10.5,314,20.4,589,19.5
1400000US06001406400,6001406400,"Census Tract 4064, Alameda County, California",470,18.9,303,6.3,140,42.1,309,23.9
1400000US06001406500,6001406500,"Census Tract 4065, Alameda County, California",1392,20.9,800,17.6,348,31.9,858,29.4
1400000US06001406601,6001406601,"Census Tract 4066.01, Alameda County, California",1155,17.7,600,1,336,36.6,684,21.1
1400000US06001406602,6001406602,"Census Tract 4066.02, Alameda County, California",544,16.7,325,15.1,160,26.3,310,21.3
1400000US06001406700,6001406700,"Census Tract 4067, Alameda County, California",1215,0,895,0,198,0,531,0
1400000US06001406800,6001406800,"Census Tract 4068, Alameda County, California",924,8.8,622,1.8,260,26.9,420,10.7
1400000US06001406900,6001406900,"Census Tract 4069, Alameda County, California",938,15.2,543,4.4,303,28.7,489,21.5
1400000US06001407000,6001407000,"Census Tract 4070, Alameda County, California",1380,25.3,632,20.1,513,36.1,770,33.5
1400000US06001407101,6001407101,"Census Tract 4071.01, Alameda County, California",762,36.7,417,27.3,209,37.8,436,56
1400000US06001407102,6001407102,"Census Tract 4071.02, Alameda County, California",930,23.2,488,4.3,321,41.7,471,25.5
1400000US06001407200,6001407200,"Census Tract 4072, Alameda County, California",1257,33.7,735,26.4,371,38.5,905,43.1
1400000US06001407300,6001407300,"Census Tract 4073, Alameda County, California",475,18.1,371,15.4,60,41.7,263,25.1
1400000US06001407400,6001407400,"Census Tract 4074, Alameda County, California",865,24.3,440,17.7,309,34,623,31.6
1400000US06001407500,6001407500,"Census Tract 4075, Alameda County, California",832,27.8,445,8.5,218,60.1,578,31
1400000US06001407600,6001407600,"Census Tract 4076, Alameda County, California",1327,19.4,805,9.6,334,47.9,806,26.6
1400000US06001407700,6001407700,"Census Tract 4077, Alameda County, California",1039,4.3,718,1,226,3.5,482,7.9
1400000US06001407800,6001407800,"Census Tract 4078, Alameda County, California",382,1.8,243,2.9,122,0,187,0
1400000US06001407900,6001407900,"Census Tract 4079, Alameda County, California",711,1.1,463,0,192,4.2,405,0
1400000US06001408000,6001408000,"Census Tract 4080, Alameda County, California",661,3.2,577,1.7,48,0,258,4.3
1400000US06001408100,6001408100,"Census Tract 4081, Alameda County, California",1652,1.6,1416,0.6,224,7.6,481,0
1400000US06001408200,6001408200,"Census Tract 4082, Alameda County, California",929,19.8,389,8.5,459,30.3,506,25.7
1400000US06001408300,6001408300,"Census Tract 4083, Alameda County, California",1026,5.6,505,0,365,12.1,547,8.8
1400000US06001408400,6001408400,"Census Tract 4084, Alameda County, California",740,35.9,243,14.4,428,50,576,43.8
1400000US06001408500,6001408500,"Census Tract 4085, Alameda County, California",1228,18.6,651,15.7,482,15.6,882,24.1
1400000US06001408600,6001408600,"Census Tract 4086, Alameda County, California",1310,33.8,567,16.9,500,57,897,42.8
1400000US06001408700,6001408700,"Census Tract 4087, Alameda County, California",1731,30.2,761,25.2,713,41.1,1136,41.3
1400000US06001408800,6001408800,"Census Tract 4088, Alameda County, California",1404,33.9,562,10.9,660,60,1042,40.8
1400000US06001408900,6001408900,"Census Tract 4089, Alameda County, California",645,43.7,251,23.5,272,70.6,487,54.4
1400000US06001409000,6001409000,"Census Tract 4090, Alameda County, California",760,18.2,466,18.2,166,14.5,548,25.2
1400000US06001409100,6001409100,"Census Tract 4091, Alameda County, California",473,30,239,11.3,204,53.9,328,39.6
1400000US06001409200,6001409200,"Census Tract 4092, Alameda County, California",712,15.9,367,10.4,242,31,396,23.2
1400000US06001409300,6001409300,"Census Tract 4093, Alameda County, California",1111,21,468,19.4,394,31.2,730,27.7
1400000US06001409400,6001409400,"Census Tract 4094, Alameda County, California",876,30,531,22.6,284,50.4,664,26.1
1400000US06001409500,6001409500,"Census Tract 4095, Alameda County, California",840,30.5,335,19.1,382,42.7,582,38.8
1400000US06001409600,6001409600,"Census Tract 4096, Alameda County, California",1107,27.8,531,25.4,482,32.4,813,32
1400000US06001409700,6001409700,"Census Tract 4097, Alameda County, California",1203,23.4,555,16.4,434,31.3,861,31.1
1400000US06001409800,6001409800,"Census Tract 4098, Alameda County, California",778,8.5,382,6.3,308,10.7,432,13.2
1400000US06001409900,6001409900,"Census Tract 4099, Alameda County, California",925,2.2,675,0,113,17.7,334,2.4
1400000US06001410000,6001410000,"Census Tract 4100, Alameda County, California",910,0,639,0,218,0,306,0
1400000US06001410100,6001410100,"Census Tract 4101, Alameda County, California",684,18.1,364,8.8,277,25.6,354,35
1400000US06001410200,6001410200,"Census Tract 4102, Alameda County, California",700,27.9,278,15.5,365,41.6,415,34.7
1400000US06001410300,6001410300,"Census Tract 4103, Alameda County, California",710,30.3,303,10.2,266,53,485,36.3
1400000US06001410400,6001410400,"Census Tract 4104, Alameda County, California",1019,13.2,490,1.6,407,31,529,20.4
1400000US06001410500,6001410500,"Census Tract 4105, Alameda County, California",577,36.7,101,26.7,438,42.2,399,49.4
1400000US06001420100,6001420100,"Census Tract 4201, Alameda County, California",696,2,534,0.6,129,3.1,399,0.8
1400000US06001420200,6001420200,"Census Tract 4202, Alameda County, California",803,7.6,574,2.4,208,16.8,546,9.3
1400000US06001420300,6001420300,"Census Tract 4203, Alameda County, California",1277,8.5,892,4,254,21.7,681,8.4
1400000US06001420400,6001420400,"Census Tract 4204, Alameda County, California",1081,26.5,872,20,150,62.7,730,31.5
1400000US06001420500,6001420500,"Census Tract 4205, Alameda County, California",619,3.6,444,2,154,8.4,426,5.2
1400000US06001420600,6001420600,"Census Tract 4206, Alameda County, California",775,0,719,0,36,0,441,0
1400000US06001421100,6001421100,"Census Tract 4211, Alameda County, California",627,4,543,3.1,49,16.3,239,7.1
1400000US06001421200,6001421200,"Census Tract 4212, Alameda County, California",1062,0.8,937,1,64,0,375,0
1400000US06001421300,6001421300,"Census Tract 4213, Alameda County, California",1143,0.7,940,0,158,5.1,385,2.1
1400000US06001421400,6001421400,"Census Tract 4214, Alameda County, California",480,0,386,0,41,0,173,0
1400000US06001421500,6001421500,"Census Tract 4215, Alameda County, California",948,1.1,856,1.2,74,0,391,2.6
1400000US06001421600,6001421600,"Census Tract 4216, Alameda County, California",974,3.3,789,1.3,175,12.6,302,0
1400000US06001421700,6001421700,"Census Tract 4217, Alameda County, California",682,1.6,539,0,106,10.4,271,4.1
1400000US06001421800,6001421800,"Census Tract 4218, Alameda County, California",517,1,432,0,47,10.6,238,2.1
1400000US06001421900,6001421900,"Census Tract 4219, Alameda County, California",856,0,697,0,90,0,347,0
1400000US06001422000,6001422000,"Census Tract 4220, Alameda County, California",439,23,263,3.8,101,60.4,290,33.4
1400000US06001422100,6001422100,"Census Tract 4221, Alameda County, California",538,6.1,342,3.2,188,11.7,298,7.4
